V1,V2,V3,V4,V5,V7,V8,V9,V10,intro1,consent,intro2,salience,multilat1,multilat2,abe,party,interest,screentime1_1,screentime1_2,screentime1_3,screentime1_4,screener_1,screener_2,screener_3,screener_4,screener_5,prompt,txhxs.time_1,txhxs.time_2,txhxs.time_3,txhxs.time_4,txhxs,txfxs.time_1,txfxs.time_2,txfxs.time_3,txfxs.time_4,txfxs,cxhxs.time_1,cxhxs.time_2,cxhxs.time_3,cxhxs.time_4,cxhxs,cxfxs.time_1,cxfxs.time_2,cxfxs.time_3,cxfxs.time_4,cxfxs,txhxe.time_1,txhxe.time_2,txhxe.time_3,txhxe.time_4,txhxe,txfxe.time_1,txfxe.time_2,txfxe.time_3,txfxe.time_4,txfxe,cxhxe.time_1,cxhxe.time_2,cxhxe.time_3,cxhxe.time_4,cxhxe,cxfxe.time_1,cxfxe.time_2,cxfxe.time_3,cxfxe.time_4,cxfxe,countryfav,policyfav,peoplefav,trumpfav,intro3,age,sex,area,education,income,comment
R_ptRhjdeGHEnBhND,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:38:42,2017-04-26 19:41:00,1,1,1,1,5,1,2,3,7,4,10.382,16.118,17.354,5,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,12.229,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,1,2,2,3,5,2,大変答えやすかったです。
R_cAqILlX7QWi9MuR,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:39:08,2017-04-26 19:42:50,1,1,1,1,5,2,2,3,1,3,42.555,44.019,45.446,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.232,5.232,20.53,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,1,3,2,6,4,2,
R_1q4V9j9lbAiy5co,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:41:10,2017-04-26 19:43:35,1,1,1,1,5,1,1,2,7,4,7.352,27.609,28.952,7,1,NA,1,NA,NA,1,0,0,10.164,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,1,1,1,4,2,4,
R_1mnpC2yCpXCtYRg,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:38:59,2017-04-26 19:43:54,1,1,1,1,5,2,3,5,7,4,22.531,23.355,42.458,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,20.872,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,3,1,3,1,5,5,2,
R_3ltfr8uDAadhcG8,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:39:48,2017-04-26 19:43:59,1,1,1,1,2,2,4,2,7,4,7.526,32.712,33.685,7,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,27.573,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,4,1,1,2,1,2,3,
R_5ndishxgVQoAdRD,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:41:19,2017-04-26 19:44:15,1,1,1,1,1,3,3,3,7,3,16.335,19.502,24.651,5,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,27.257,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,1,2,2,3,2,3,
R_1OrhcfCni1YJGsz,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:39:52,2017-04-26 19:44:21,1,1,1,1,5,3,3,2,7,3,41.764,63.051,64.425,5,NA,NA,1,NA,NA,1,0,0,21.122,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,1,2,2,6,2,4,
R_3MyYIPkZ2G2j2uu,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:41:09,2017-04-26 19:44:23,1,1,1,1,5,2,2,4,7,5,20.562,48.948,55.196,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,19.229,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,4,1,3,2,6,5,4,
R_OBU9uQxTbyvmm77,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:40:41,2017-04-26 19:44:23,1,1,1,1,1,3,1,1,1,5,4.654,4.654,6.056,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,15.314,0,1,NA,NA,NA,NA,NA,3,3,2,3,1,4,2,1,5,4,電話での新聞社の世論調査に参加したことがありました。こういった対価をもらった調査は初めてです。
R_3CJKs2yurfS3NRO,Default Response Set,Anonymous,NA,NA,0,2017-04-26 19:41:14,2017-04-26 19:45:10,1,1,1,1,2,1,1,2,7,4,28.65,28.65,29.933,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,22.926,0,1,NA,NA,NA,NA,NA,3,4,1,2,1,3,1,3,5,4,
